Date,Cone ID,Treatment,Soil,Species,Heightmm,LeafNumber
5072017,ME001,Sterile,DEAD,BB,38,11
5072017,ME002,Sterile,DEAD,BB,17,3
5072017,ME003,Sterile,DEAD,BB,16,6
5072017,ME004,Sterile,DEAD,BB,32,8
5072017,ME005,Sterile,DEAD,BB,68,49
5072017,ME006,Sterile,DEAD,BB,49,30
5072017,ME007,Sterile,DEAD,BB,52,6
5072017,ME008,Sterile,DEAD,BB,9,7
5072017,ME009,Sterile,DEAD,BB,21,8
5072017,ME010,Sterile,DEAD,BB,17,6
5072017,ME011,Sterile,DEAD,BB,68,33
5072017,ME012,Sterile,DEAD,BB,24,7
5072017,ME013,MD,ALIVE,BB,23,4
5072017,ME014,MD,ALIVE,BB,17,3
5072017,ME015,MD,ALIVE,BB,10,4
5072017,ME016,MD,ALIVE,BB,21,13
5072017,ME017,MD,ALIVE,BB,20,13
5072017,ME018,MD,ALIVE,BB,13,3
5072017,ME019,MD,ALIVE,BB,4,3
5072017,ME020,MD,ALIVE,BB,2,1
5072017,ME021,MD,ALIVE,BB,9,4
5072017,ME022,MD,ALIVE,BB,11,4
5072017,ME023,MD,ALIVE,BB,10,5
5072017,ME024,MD,ALIVE,BB,14,5
5072017,ME025,SD,ALIVE,BB,6,3
5072017,ME026,SD,ALIVE,BB,55,46
5072017,ME027,SD,ALIVE,BB,5,3
5072017,ME027,SD,ALIVE,BB,27,13
5072017,ME028,SD,ALIVE,BB,30,15
5072017,ME029,SD,ALIVE,BB,59,36
5072017,ME030,SD,ALIVE,BB,58,51
5072017,ME031,SD,ALIVE,BB,72,65
5072017,ME032,SD,ALIVE,BB,33,22
5072017,ME033,SD,ALIVE,BB,80,59
5072017,ME034,SD,ALIVE,BB,95,81
5072017,ME035,SD,ALIVE,BB,49,42
5072017,ME037,UD,ALIVE,BB,75,57
5072017,ME038,UD,ALIVE,BB,7,3
5072017,ME040,UD,ALIVE,BB,44,39
5072017,ME041,UD,ALIVE,BB,55,55
5072017,ME042,UD,ALIVE,BB,52,35
5072017,ME043,UD,ALIVE,BB,33,53
5072017,ME044,UD,ALIVE,BB,73,75
5072017,ME047,UD,ALIVE,BB,100,86
5072017,ME049,UD,ALIVE,LB,70,44
5072017,ME050,UD,ALIVE,LB,19,14
5072017,ME051,UD,ALIVE,LB,38,47
5072017,ME052,UD,ALIVE,LB,17,10
5072017,ME053,UD,ALIVE,LB,42,34
5072017,ME054,UD,ALIVE,LB,16,8
5072017,ME055,UD,ALIVE,LB,51,32
5072017,ME056,UD,ALIVE,LB,49,31
5072017,ME057,UD,ALIVE,LB,61,40
5072017,ME058,UD,ALIVE,LB,55,57
5072017,ME059,UD,ALIVE,LB,33,23
5072017,ME060,SD,ALIVE,LB,74,48
5072017,ME061,SD,ALIVE,LB,10,5
5072017,ME062,SD,ALIVE,LB,8,3
5072017,ME063,SD,ALIVE,LB,57,57
5072017,ME064,SD,ALIVE,LB,34,18
5072017,ME065,SD,ALIVE,LB,98,61
5072017,ME066,SD,ALIVE,LB,32,23
5072017,ME067,SD,ALIVE,LB,12,3
5072017,ME068,SD,ALIVE,LB,8,4
5072017,ME069,SD,ALIVE,LB,20,11
5072017,ME070,SD,ALIVE,LB,39,40
5072017,ME071,SD,ALIVE,LB,8,2
5072017,ME072,MD,ALIVE,LB,7,3
5072017,ME073,MD,ALIVE,LB,5,2
5072017,ME074,MD,ALIVE,LB,5,2
5072017,ME075,MD,ALIVE,LB,5,2
5072017,ME076,MD,ALIVE,LB,10,8
5072017,ME078,MD,ALIVE,LB,4,2
5072017,ME079,MD,ALIVE,LB,8,3
5072017,ME081,MD,ALIVE,LB,5,2
5072017,ME082,MD,ALIVE,LB,5,2
5072017,ME083,MD,ALIVE,LB,15,11
5072017,ME084,MD,ALIVE,LB,31,17
5072017,ME085,Sterile,DEAD,LB,37,27
5072017,ME086,Sterile,DEAD,LB,76,53
5072017,ME087,Sterile,DEAD,LB,13,4
5072017,ME088,Sterile,DEAD,LB,46,67
5072017,ME089,Sterile,DEAD,LB,18,12
5072017,ME090,Sterile,DEAD,LB,5,2
5072017,ME091,Sterile,DEAD,LB,24,5
5072017,ME092,Sterile,DEAD,LB,30,22
5072017,ME093,Sterile,DEAD,LB,24,13
5072017,ME094,Sterile,DEAD,LB,37,16
5072017,ME095,Sterile,DEAD,LB,4,2
5072017,ME096,Sterile,DEAD,LB,10,3
